# Time-averaged data for fix global_out
# TimeStep v_nmobile v_nbank v_noutlet f_outlet c_sum_contact c_max_contact c_sum_ke c_sum_erot c_bank_contact c_bank_ke c_bank_erot
0 0 0 0 0 0 -1e+20 0 0 0 0 0
2000 9141 0 0 0 6 1 1.16778e-06 6.58436e-11 0 0 0
4000 9141 0 0 0 10 1 1.19208e-06 1.20129e-10 0 0 0
6000 9141 0 0 0 10 1 1.21664e-06 1.66095e-10 0 0 0
8000 9141 0 0 0 10 1 1.24147e-06 1.9832e-10 0 0 0
10000 9141 0 0 0 2 1 1.26655e-06 2.25577e-10 0 0 0
12000 9141 0 0 0 6 1 1.29189e-06 2.5429e-10 0 0 0
14000 9141 0 0 0 2 1 1.31748e-06 2.79491e-10 0 0 0
16000 9141 130 0 0 8 1 1.34333e-06 3.05174e-10 0 2.25336e-08 1.41626e-12
18000 9141 452 0 0 6 1 1.36943e-06 3.24066e-10 0 8.04882e-08 5.7283e-12
20000 9141 753 0 0 2 1 1.39579e-06 3.44909e-10 0 1.34638e-07 1.04099e-11
22000 9141 1083 0 0 2 1 1.4224e-06 3.57268e-10 0 1.95813e-07 1.71441e-11
24000 9141 1438 0 0 2 1 1.44722e-06 2.13236e-09 0 2.60221e-07 1.78825e-09
26000 9141 1799 0 0 12 1 1.46619e-06 8.38555e-09 4 3.21899e-07 8.0368e-09
28000 9141 2175 0 0 6 1 1.48292e-06 1.41913e-08 2 3.83752e-07 1.3838e-08
30000 9141 2556 0 0 6 1 1.49648e-06 2.23829e-08 4 4.43786e-07 2.18656e-08
32000 9141 2944 0 0 14 1 1.50936e-06 2.90885e-08 10 5.06844e-07 2.82421e-08
34000 17337 3373 0 0 17 1 2.56115e-06 3.53165e-08 9 5.7877e-07 3.40467e-08
36000 17337 3857 0 0 21 1 2.59418e-06 4.16003e-08 7 6.59495e-07 4.05048e-08
38000 17337 4334 0 0 22 1 2.62605e-06 4.71907e-08 20 7.39687e-07 4.59801e-08
40000 17337 4861 0 0 26 1 2.65446e-06 5.4127e-08 18 8.24575e-07 5.27091e-08
42000 17337 5453 0 0 11 1 2.68482e-06 5.87603e-08 7 9.28947e-07 5.73181e-08
44000 17337 6187 0 0 37 1 2.71248e-06 6.52015e-08 31 1.05818e-06 6.31585e-08
46000 17337 7215 0 0 50 2 2.73854e-06 7.10738e-08 42 1.23555e-06 6.9182e-08
48000 17337 8546 0 0 36 1 2.7587e-06 7.88735e-08 30 1.46693e-06 7.72254e-08
50000 17337 9383 0 0 65 1 2.76964e-06 8.67682e-08 57 1.59817e-06 8.56157e-08
52000 17337 9672 0 0 90 2 2.77016e-06 9.57017e-08 84 1.6279e-06 9.46879e-08
54000 17337 9939 0 0 65 1 2.77442e-06 9.92164e-08 65 1.65897e-06 9.82038e-08
56000 17337 10230 0 0 85 2 2.78456e-06 1.02596e-07 81 1.6999e-06 1.01355e-07
58000 17337 10535 0 0 62 1 2.80545e-06 1.01644e-07 56 1.7553e-06 1.00535e-07
60000 17337 10840 0 0 56 1 2.82971e-06 1.02956e-07 54 1.81521e-06 1.01479e-07
62000 17337 11193 0 0 32 1 2.85616e-06 1.03581e-07 29 1.88555e-06 1.01768e-07
64000 17337 11536 0 0 41 1 2.87993e-06 1.09646e-07 34 1.95229e-06 1.0751e-07
66000 25865 11932 0 0 44 1 3.96857e-06 1.23675e-07 34 2.01853e-06 1.21654e-07
68000 25865 12356 0 0 74 1 3.99072e-06 1.42446e-07 64 2.07803e-06 1.40526e-07
70000 25865 12782 0 0 65 1 4.01519e-06 1.57539e-07 57 2.14237e-06 1.55533e-07
